   #Date       Time       lat.     long.   depth  Mn   residue
2018-03-22 06:40:02.194 34.62825 45.64391 4.407 3.50 0.217
2018-03-23 21:22:57.561 34.62968 45.50443 8.087 3.40 0.226
2018-03-28 00:27:06.866 34.50793 45.50768 15.19 4.0 0.430
2018-03-28 01:19:22.654 34.50885 45.46738 4.082 3.70 0.442
2018-03-28 01:55:34.065 34.53728 45.56573 8.606 3.70 0.547
2018-03-28 04:44:16.854 34.54481 45.43268 6.000 3.30 1.026
2018-03-28 12:10:10.103 34.53893 45.45094 5.877 3.50 0.133
2018-04-01 08:35:26.639 34.42924 45.77809 9.404 5.30 0.508
2018-04-01 10:58:07.347 34.41900 45.78841 9.330 3.30 0.430
2018-04-01 16:01:25.314 34.41109 45.78114 7.425 3.30 0.632
2018-04-02 03:03:23.886 34.41376 45.79105 9.998 4.00 0.477
2018-04-04 21:47:00.892 34.38752 45.78621 7.491 3.50 0.383
2018-04-06 17:27:23.264 34.39204 45.78304 10.00 3.10 0.586
2018-04-07 08:48:56.094 34.40060 45.79607 7.294 3.90 1.264
2018-04-21 04:12:29.852 34.62883 46.35233 6.002 3.30 0.094
2018-04-27 03:04:32.015 34.36958 45.52073 8.481 3.20 0.252
2018-04-30 22:13:37.775 34.84926 45.83363 6.503 3.90 0.125
2018-04-30 22:14:50.976 34.83592 45.83969 4.665 4.00 0.412
2018-04-30 22:25:43.092 34.86423 45.82930 6.879 3.40 0.593
2018-05-05 10:49:52.238 34.53434 45.77026 4.292 3.80 0.290
2018-05-07 16:04:09.589 34.85386 45.82880 6.320 3.70 0.458
2018-05-09 10:37:14.338 34.83789 45.72731 2.001 3.60 0.400
2018-05-09 16:34:05.269 34.85487 45.83881 7.617 3.20 0.623
2018-05-12 17:11:33.008 34.35348 45.70037 2.002 3.30 0.333
2018-05-13 09:47:39.364 34.60492 46.29311 2.253 3.20 0.177
2018-05-22 00:31:53.739 34.83573 45.84568 8.003 4.40 0.265
2018-05-22 00:36:00.897 34.84278 45.86528 4.000 6.70 0.411
2018-05-30 13:58:44.612 34.67158 45.80825 7.315 3.20 0.243
2018-06-06 00:07:06.900 34.41745 45.96936 7.016 3.90 0.347
2018-06-08 04:57:52.489 34.38937 45.64929 5.493 3.30 0.780
2018-06-23 21:37:49.721 34.43353 45.97129 2.001 4.00 0.758
2018-06-25 20:53:55.077 35.47337 46.40331 2.003 3.20 0.130
2018-06-26 17:57:04.148 34.61077 46.26020 7.290 4.80 0.370
2018-06-26 22:13:07.020 34.53946 45.69687 5.043 4.10 0.327
2018-06-26 22:22:08.292 34.53825 45.67644 4.264 3.50 0.757
