#Lon	Lat	Depth size	Mag.
46.202	34.898	10.1	0.24    2.4
46.087	34.598	5.3	0.25    2.5
45.876	34.598	8.9	0.3     3
45.881	34.599	8.5	0.18    1.8
45.835	34.508	15	0.25    2.5
45.305	34.605	18.1	0.27    2.7
45.739	34.959	10.2	0.3     3
45.774	34.895	11.7	0.22    2.2
45.954	34.643	19.8	0.31    3.1
45.784	34.896	9	0.28    2.8
45.784	34.9	10.3	0.24    2.4
45.793	34.747	10	0.23    2.3
46.226	34.548	17.3	0.21    2.1
45.873	35.097	15	0.42    4.2
45.775	34.897	10.7	0.24    2.4
45.734	34.544	16.6	0.24    2.4
46.289	34.592	7.9	0.31    3.1
45.707	34.524	16.7	0.17    1.7
46.12	34.674	10.6	0.21    2.1
